compound_fraction_number,plate_id,section_id,site,modality_name,col,cell_name,timepoint_id,modality_target,tp_time,plate_name,row,id,cell_code,stack_name,annotation,category,phenotype,uri
,134012ad-4e9b-483e-87ed-fcc83711faff,c4f8111f-9e92-4e94-8bac-a5c3fbeaa1b9,3,BrightField,8,Botrytis cinerea Pers. 1801,e559650a-1f03-482c-b6a9-8a3acfef82f4,,,LDtest-DataGen-24h-1,G,ef9ed2d7-3538-41da-b0b1-d7ee14703f60,BOTRCI,NileRed_WGA_CFW,3,Morphology,GlucanSynInhib,file:///images/ef9ed2d7-3538-41da-b0b1-d7ee14703f60.tif
,a44218fc-1e3e-425c-a680-d796a9a5ccd2,e7139b27-b888-4528-891c-fd274aa23255,4,CFW,3,Botrytis cinerea Pers. 1801,1d0d347e-b4ed-4d69-a610-55d4df3df6e5,"Glucans, Chitin",,Fenpro-Prothio-Fenhe,A,468090cb-3940-4bc6-8600-8d0657929fec,BOTRCI,WGA_NileRed_CFW,0,Cell wall,CWclust,file:///images/468090cb-3940-4bc6-8600-8d0657929fec.tif
,fc5b2f8d-dd12-495e-8fef-a69e1ab4c317,d146a7fa-30d7-49d9-9de3-d44bf885b82d,6,NileRed,9,Botrytis cinerea Pers. 1801,778d6dc0-0414-42d0-bdf8-dc3348515304,Lipids,,LDtest-DataGen-24h-2,B,2b9e005a-306c-46e2-89c7-257bace21da4,BOTRCI,NileRed_WGA_CFW,2,Lipid,LDlarge,file:///images/2b9e005a-306c-46e2-89c7-257bace21da4.tif
,a44218fc-1e3e-425c-a680-d796a9a5ccd2,71ee70e7-6b7e-4376-874a-8fa94845580f,6,BrightField,7,Botrytis cinerea Pers. 1801,1d0d347e-b4ed-4d69-a610-55d4df3df6e5,,,Fenpro-Prothio-Fenhe,E,483f0384-d68e-4af2-abc8-8b6bebc5c956,BOTRCI,WGA_NileRed_CFW,0,Morphology,FullGerm,file:///images/483f0384-d68e-4af2-abc8-8b6bebc5c956.tif
,fc5b2f8d-dd12-495e-8fef-a69e1ab4c317,f8d7aa86-2c49-4b8a-be60-b2b42cbbf873,2,BrightField,9,Botrytis cinerea Pers. 1801,778d6dc0-0414-42d0-bdf8-dc3348515304,,,LDtest-DataGen-24h-2,A,e2423838-ad52-4841-81b9-9700f92b60ae,BOTRCI,NileRed_WGA_CFW,4,Morphology,GermAgglo,file:///images/e2423838-ad52-4841-81b9-9700f92b60ae.tif
,fc5b2f8d-dd12-495e-8fef-a69e1ab4c317,d146a7fa-30d7-49d9-9de3-d44bf885b82d,2,BrightField,1,Botrytis cinerea Pers. 1801,778d6dc0-0414-42d0-bdf8-dc3348515304,,,LDtest-DataGen-24h-2,B,815c21ae-2399-4800-83e2-55bfbb91aebe,BOTRCI,NileRed_WGA_CFW,4,Morphology,GermAgglo,file:///images/815c21ae-2399-4800-83e2-55bfbb91aebe.tif
,67c03d72-d8b3-44f4-86d4-cd003905634a,3e73c327-497a-467b-9572-ecee8b18cc20,1,BrightField,3,Botrytis cinerea Pers. 1801,b28eb622-09cb-4cb8-9e8d-390ed6ec2604,,,PolyoxB-Caspo,D,7177b6c6-6fad-44e3-b3f7-8cfb289e83b4,BOTRCI,WGA_NileRed_CFW,0,Morphology,FullGerm,file:///images/7177b6c6-6fad-44e3-b3f7-8cfb289e83b4.tif
,a44218fc-1e3e-425c-a680-d796a9a5ccd2,33f74b26-b709-49e4-994c-3b49e7cba8f0,2,BrightField,12,Botrytis cinerea Pers. 1801,1d0d347e-b4ed-4d69-a610-55d4df3df6e5,,,Fenpro-Prothio-Fenhe,D,3c1c7d85-dd9b-42be-8778-0c18d6553bfe,BOTRCI,WGA_NileRed_CFW,6,Morphology,GermNone,file:///images/3c1c7d85-dd9b-42be-8778-0c18d6553bfe.tif
,32e1c64f-97b7-433b-8cf7-c5419c3b86a3,fd57e84c-3047-4342-a4f3-88f81b64915c,1,CFW,3,Botrytis cinerea Pers. 1801,57feac49-c9d1-4ee2-bc53-9f2c57e7b74b,"Glucans, Chitin",,Azoxy-Bix-Fluop,G,932c994f-56a3-480a-bd02-115eebfe1e4d,BOTRCI,NileRed_WGA_CFW,1,Cell wall,CFWweak,file:///images/932c994f-56a3-480a-bd02-115eebfe1e4d.tif
,134012ad-4e9b-483e-87ed-fcc83711faff,12b063db-40b2-4819-90d4-405d3a70c684,1,NileRed,10,Botrytis cinerea Pers. 1801,e559650a-1f03-482c-b6a9-8a3acfef82f4,Lipids,,LDtest-DataGen-24h-1,A,685592f5-6262-422b-b9c3-6e160e9549f7,BOTRCI,NileRed_WGA_CFW,2,Lipid,LDlarge,file:///images/685592f5-6262-422b-b9c3-6e160e9549f7.tif
,fc5b2f8d-dd12-495e-8fef-a69e1ab4c317,f8d7aa86-2c49-4b8a-be60-b2b42cbbf873,7,CFW,3,Botrytis cinerea Pers. 1801,778d6dc0-0414-42d0-bdf8-dc3348515304,"Glucans, Chitin",,LDtest-DataGen-24h-2,A,642a5daf-d35b-4079-9241-33d307db1e8f,BOTRCI,NileRed_WGA_CFW,4,Cell wall,CWswell,file:///images/642a5daf-d35b-4079-9241-33d307db1e8f.tif
,fc5b2f8d-dd12-495e-8fef-a69e1ab4c317,a97a699c-b45a-4a62-8067-d243c877bdd7,7,WGA,10,Botrytis cinerea Pers. 1801,778d6dc0-0414-42d0-bdf8-dc3348515304,Chitin,,LDtest-DataGen-24h-2,H,b2af7465-63d9-498c-8675-322bc28d184a,BOTRCI,NileRed_WGA_CFW,3,Apical cell wall,ACWapex,file:///images/b2af7465-63d9-498c-8675-322bc28d184a.tif
NLL9765-4-1,85afdfa5-cc49-4997-bcdf-5b801302ecba,c1660c93-6e9c-4350-8a68-cae54421d292,12,NileRed,3,Botrytis cinerea Pers. 1801,60d53bf6-6766-45a2-a789-955784215552,Lipids,00:00:00,LDtest-set1-P3-R3,E,c157ccc8-6a28-41f1-b1c9-d12ce1e30247,BOTRCI,NileRed_WGA_CFW,1,Lipid,LDblur,file:///images/c157ccc8-6a28-41f1-b1c9-d12ce1e30247.tif
,67c03d72-d8b3-44f4-86d4-cd003905634a,3e73c327-497a-467b-9572-ecee8b18cc20,1,WGA,1,Botrytis cinerea Pers. 1801,b28eb622-09cb-4cb8-9e8d-390ed6ec2604,Chitin,,PolyoxB-Caspo,C,e827ca75-977f-4dbf-b863-2520562e6b20,BOTRCI,WGA_NileRed_CFW,3,Apical cell wall,ACWapex,file:///images/e827ca75-977f-4dbf-b863-2520562e6b20.tif
,a44218fc-1e3e-425c-a680-d796a9a5ccd2,e7139b27-b888-4528-891c-fd274aa23255,5,CFW,1,Botrytis cinerea Pers. 1801,1d0d347e-b4ed-4d69-a610-55d4df3df6e5,"Glucans, Chitin",,Fenpro-Prothio-Fenhe,C,6b90b6c6-ca8b-4761-9c05-2d785ee3d9aa,BOTRCI,WGA_NileRed_CFW,0,Cell wall,CWclust,file:///images/6b90b6c6-ca8b-4761-9c05-2d785ee3d9aa.tif
,fc5b2f8d-dd12-495e-8fef-a69e1ab4c317,a97a699c-b45a-4a62-8067-d243c877bdd7,7,CFW,8,Botrytis cinerea Pers. 1801,778d6dc0-0414-42d0-bdf8-dc3348515304,"Glucans, Chitin",,LDtest-DataGen-24h-2,H,5362a6e0-d3e9-4b41-8ca4-8a082ef93c50,BOTRCI,NileRed_WGA_CFW,2,Cell wall,CWsepta,file:///images/5362a6e0-d3e9-4b41-8ca4-8a082ef93c50.tif
,a44218fc-1e3e-425c-a680-d796a9a5ccd2,33f74b26-b709-49e4-994c-3b49e7cba8f0,4,NileRed,9,Botrytis cinerea Pers. 1801,1d0d347e-b4ed-4d69-a610-55d4df3df6e5,Lipids,,Fenpro-Prothio-Fenhe,D,fdfc4b7e-ad35-40da-ade8-4bbb5340659d,BOTRCI,WGA_NileRed_CFW,1,Lipid,LDblur,file:///images/fdfc4b7e-ad35-40da-ade8-4bbb5340659d.tif
,fc5b2f8d-dd12-495e-8fef-a69e1ab4c317,d146a7fa-30d7-49d9-9de3-d44bf885b82d,9,NileRed,8,Botrytis cinerea Pers. 1801,778d6dc0-0414-42d0-bdf8-dc3348515304,Lipids,,LDtest-DataGen-24h-2,B,2a5689a8-49d0-492d-b310-3fa5a34f65d8,BOTRCI,NileRed_WGA_CFW,2,Lipid,LDlarge,file:///images/2a5689a8-49d0-492d-b310-3fa5a34f65d8.tif
,134012ad-4e9b-483e-87ed-fcc83711faff,d3fb9c6e-9e25-43ba-a452-dbb88e94b1b5,1,CFW,5,Botrytis cinerea Pers. 1801,e559650a-1f03-482c-b6a9-8a3acfef82f4,"Glucans, Chitin",,LDtest-DataGen-24h-1,H,63e1de20-6d6d-43f9-9100-ad6c9a9d6ab8,BOTRCI,NileRed_WGA_CFW,3,Cell wall,CFWbright,file:///images/63e1de20-6d6d-43f9-9100-ad6c9a9d6ab8.tif
,67c03d72-d8b3-44f4-86d4-cd003905634a,868f820e-4d28-4b22-a877-742ae062aaf6,3,WGA,8,Botrytis cinerea Pers. 1801,b28eb622-09cb-4cb8-9e8d-390ed6ec2604,Chitin,,PolyoxB-Caspo,E,1ea366ce-0eff-492b-8a87-555898bd0aca,BOTRCI,WGA_NileRed_CFW,3,Apical cell wall,ACWapex,file:///images/1ea366ce-0eff-492b-8a87-555898bd0aca.tif
,a44218fc-1e3e-425c-a680-d796a9a5ccd2,e7139b27-b888-4528-891c-fd274aa23255,5,NileRed,3,Botrytis cinerea Pers. 1801,1d0d347e-b4ed-4d69-a610-55d4df3df6e5,Lipids,,Fenpro-Prothio-Fenhe,H,b5a51023-ef95-49ca-9816-dd4f27c3abf4,BOTRCI,WGA_NileRed_CFW,1,Lipid,LDblur,file:///images/b5a51023-ef95-49ca-9816-dd4f27c3abf4.tif
,134012ad-4e9b-483e-87ed-fcc83711faff,858c2a18-8a11-4991-a9db-7c1eab32eba9,9,NileRed,8,Botrytis cinerea Pers. 1801,e559650a-1f03-482c-b6a9-8a3acfef82f4,Lipids,,LDtest-DataGen-24h-1,F,417bac7c-c335-4aab-849a-d435837eb1cc,BOTRCI,NileRed_WGA_CFW,2,Lipid,LDlarge,file:///images/417bac7c-c335-4aab-849a-d435837eb1cc.tif
,a44218fc-1e3e-425c-a680-d796a9a5ccd2,71ee70e7-6b7e-4376-874a-8fa94845580f,4,WGA,5,Botrytis cinerea Pers. 1801,1d0d347e-b4ed-4d69-a610-55d4df3df6e5,Chitin,,Fenpro-Prothio-Fenhe,C,f236cd1c-3887-4930-9dca-1e462496f46e,BOTRCI,WGA_NileRed_CFW,3,Apical cell wall,ACWapex,file:///images/f236cd1c-3887-4930-9dca-1e462496f46e.tif
,a44218fc-1e3e-425c-a680-d796a9a5ccd2,e7139b27-b888-4528-891c-fd274aa23255,5,CFW,3,Botrytis cinerea Pers. 1801,1d0d347e-b4ed-4d69-a610-55d4df3df6e5,"Glucans, Chitin",,Fenpro-Prothio-Fenhe,F,17d848a0-f89e-4a92-b8e3-f44bb21b5414,BOTRCI,WGA_NileRed_CFW,0,Cell wall,CWclust,file:///images/17d848a0-f89e-4a92-b8e3-f44bb21b5414.tif
,32e1c64f-97b7-433b-8cf7-c5419c3b86a3,ba0d5e25-0a08-4d69-8bfe-4841417e9cc5,3,BrightField,8,Botrytis cinerea Pers. 1801,57feac49-c9d1-4ee2-bc53-9f2c57e7b74b,,,Azoxy-Bix-Fluop,G,ec4f5967-3005-4d15-87b3-6471def99a2f,BOTRCI,NileRed_WGA_CFW,1,Morphology,GermInhib,file:///images/ec4f5967-3005-4d15-87b3-6471def99a2f.tif
,32e1c64f-97b7-433b-8cf7-c5419c3b86a3,ba0d5e25-0a08-4d69-8bfe-4841417e9cc5,5,NileRed,6,Botrytis cinerea Pers. 1801,57feac49-c9d1-4ee2-bc53-9f2c57e7b74b,Lipids,,Azoxy-Bix-Fluop,H,f0853ffe-1c86-492c-a5ca-96cdfa2327a5,BOTRCI,NileRed_WGA_CFW,1,Lipid,LDblur,file:///images/f0853ffe-1c86-492c-a5ca-96cdfa2327a5.tif
,134012ad-4e9b-483e-87ed-fcc83711faff,c4f8111f-9e92-4e94-8bac-a5c3fbeaa1b9,8,NileRed,6,Botrytis cinerea Pers. 1801,e559650a-1f03-482c-b6a9-8a3acfef82f4,Lipids,,LDtest-DataGen-24h-1,G,eb16c5fe-6d1d-4b82-bd9d-883be2bbf5f2,BOTRCI,NileRed_WGA_CFW,3,Lipid,LDhyph,file:///images/eb16c5fe-6d1d-4b82-bd9d-883be2bbf5f2.tif
,a44218fc-1e3e-425c-a680-d796a9a5ccd2,71ee70e7-6b7e-4376-874a-8fa94845580f,1,CFW,6,Botrytis cinerea Pers. 1801,1d0d347e-b4ed-4d69-a610-55d4df3df6e5,"Glucans, Chitin",,Fenpro-Prothio-Fenhe,C,bc3df92b-6019-4cd7-8162-621642c8901f,BOTRCI,WGA_NileRed_CFW,2,Cell wall,CWsepta,file:///images/bc3df92b-6019-4cd7-8162-621642c8901f.tif
,134012ad-4e9b-483e-87ed-fcc83711faff,0882609e-b2bc-4721-89bc-d9339467b199,5,NileRed,6,Botrytis cinerea Pers. 1801,e559650a-1f03-482c-b6a9-8a3acfef82f4,Lipids,,LDtest-DataGen-24h-1,E,f3036ff8-f5ac-4790-8d0c-6641e376ed87,BOTRCI,NileRed_WGA_CFW,2,Lipid,LDlarge,file:///images/f3036ff8-f5ac-4790-8d0c-6641e376ed87.tif
,fc5b2f8d-dd12-495e-8fef-a69e1ab4c317,083315bb-439d-4ddf-b3db-2dcf9a69fadd,9,WGA,6,Botrytis cinerea Pers. 1801,778d6dc0-0414-42d0-bdf8-dc3348515304,Chitin,,LDtest-DataGen-24h-2,D,8e904c5c-b59a-47cb-ae9b-798d3a646f10,BOTRCI,NileRed_WGA_CFW,3,Apical cell wall,ACWapex,file:///images/8e904c5c-b59a-47cb-ae9b-798d3a646f10.tif
,a44218fc-1e3e-425c-a680-d796a9a5ccd2,71ee70e7-6b7e-4376-874a-8fa94845580f,1,BrightField,8,Botrytis cinerea Pers. 1801,1d0d347e-b4ed-4d69-a610-55d4df3df6e5,,,Fenpro-Prothio-Fenhe,C,eb265661-4e01-4ca7-9576-00e1126ec022,BOTRCI,WGA_NileRed_CFW,0,Morphology,FullGerm,file:///images/eb265661-4e01-4ca7-9576-00e1126ec022.tif
NLL9765-4-1,1256a0da-160d-40db-9ad8-576fe0b74ee5,1b31cc19-9db7-43b8-b26d-77683fa51419,9,NileRed,2,Botrytis cinerea Pers. 1801,64ea1a53-dd08-4817-8607-d56a1c5f8a41,Lipids,00:00:00,LDtest-set1-P3-R1,E,4a0b2f42-ddc9-4646-8f5e-2e5757f62f07,BOTRCI,NileRed_WGA_CFW,1,Lipid,LDblur,file:///images/4a0b2f42-ddc9-4646-8f5e-2e5757f62f07.tif
,32e1c64f-97b7-433b-8cf7-c5419c3b86a3,ba0d5e25-0a08-4d69-8bfe-4841417e9cc5,4,CFW,6,Botrytis cinerea Pers. 1801,57feac49-c9d1-4ee2-bc53-9f2c57e7b74b,"Glucans, Chitin",,Azoxy-Bix-Fluop,B,88ad38b9-fd0c-4b78-aadf-fd0fa300df45,BOTRCI,NileRed_WGA_CFW,1,Cell wall,CFWweak,file:///images/88ad38b9-fd0c-4b78-aadf-fd0fa300df45.tif
,a44218fc-1e3e-425c-a680-d796a9a5ccd2,33f74b26-b709-49e4-994c-3b49e7cba8f0,5,BrightField,10,Botrytis cinerea Pers. 1801,1d0d347e-b4ed-4d69-a610-55d4df3df6e5,,,Fenpro-Prothio-Fenhe,G,a83d8a9c-36a6-4d8f-9321-096053169694,BOTRCI,WGA_NileRed_CFW,6,Morphology,GermNone,file:///images/a83d8a9c-36a6-4d8f-9321-096053169694.tif
,fc5b2f8d-dd12-495e-8fef-a69e1ab4c317,a97a699c-b45a-4a62-8067-d243c877bdd7,5,BrightField,2,Botrytis cinerea Pers. 1801,778d6dc0-0414-42d0-bdf8-dc3348515304,,,LDtest-DataGen-24h-2,H,3a2c4716-0c57-4347-bc07-61531ac03e0a,BOTRCI,NileRed_WGA_CFW,0,Morphology,FullGerm,file:///images/3a2c4716-0c57-4347-bc07-61531ac03e0a.tif
,134012ad-4e9b-483e-87ed-fcc83711faff,c4f8111f-9e92-4e94-8bac-a5c3fbeaa1b9,5,CFW,7,Botrytis cinerea Pers. 1801,e559650a-1f03-482c-b6a9-8a3acfef82f4,"Glucans, Chitin",,LDtest-DataGen-24h-1,G,87023154-a26f-4bd6-a9f5-af6d01d15b7a,BOTRCI,NileRed_WGA_CFW,3,Cell wall,CFWbright,file:///images/87023154-a26f-4bd6-a9f5-af6d01d15b7a.tif
,32e1c64f-97b7-433b-8cf7-c5419c3b86a3,fd57e84c-3047-4342-a4f3-88f81b64915c,1,BrightField,1,Botrytis cinerea Pers. 1801,57feac49-c9d1-4ee2-bc53-9f2c57e7b74b,,,Azoxy-Bix-Fluop,C,86c6302e-55cf-48b2-b102-decfea0a356f,BOTRCI,NileRed_WGA_CFW,1,Morphology,GermInhib,file:///images/86c6302e-55cf-48b2-b102-decfea0a356f.tif
,134012ad-4e9b-483e-87ed-fcc83711faff,bafda73b-a28e-4ca1-8cbb-3c41b0496e3b,5,WGA,3,Botrytis cinerea Pers. 1801,e559650a-1f03-482c-b6a9-8a3acfef82f4,Chitin,,LDtest-DataGen-24h-1,B,6fb1ed17-bf87-4b1e-846a-db75ccda1054,BOTRCI,NileRed_WGA_CFW,2,Apical cell wall,WGAnoSig,file:///images/6fb1ed17-bf87-4b1e-846a-db75ccda1054.tif
,a44218fc-1e3e-425c-a680-d796a9a5ccd2,71ee70e7-6b7e-4376-874a-8fa94845580f,1,WGA,7,Botrytis cinerea Pers. 1801,1d0d347e-b4ed-4d69-a610-55d4df3df6e5,Chitin,,Fenpro-Prothio-Fenhe,D,c691bbdf-07b4-4f29-a118-ca9d7b7dc703,BOTRCI,WGA_NileRed_CFW,3,Apical cell wall,ACWapex,file:///images/c691bbdf-07b4-4f29-a118-ca9d7b7dc703.tif
,a44218fc-1e3e-425c-a680-d796a9a5ccd2,71ee70e7-6b7e-4376-874a-8fa94845580f,6,BrightField,7,Botrytis cinerea Pers. 1801,1d0d347e-b4ed-4d69-a610-55d4df3df6e5,,,Fenpro-Prothio-Fenhe,A,eb323aef-23b3-4eff-8759-3ddc8ada6f80,BOTRCI,WGA_NileRed_CFW,0,Morphology,FullGerm,file:///images/eb323aef-23b3-4eff-8759-3ddc8ada6f80.tif
,a44218fc-1e3e-425c-a680-d796a9a5ccd2,e7139b27-b888-4528-891c-fd274aa23255,4,CFW,4,Botrytis cinerea Pers. 1801,1d0d347e-b4ed-4d69-a610-55d4df3df6e5,"Glucans, Chitin",,Fenpro-Prothio-Fenhe,D,76564db0-0b38-42a6-80a4-08bab08a4cd6,BOTRCI,WGA_NileRed_CFW,0,Cell wall,CWclust,file:///images/76564db0-0b38-42a6-80a4-08bab08a4cd6.tif
,a44218fc-1e3e-425c-a680-d796a9a5ccd2,33f74b26-b709-49e4-994c-3b49e7cba8f0,3,NileRed,12,Botrytis cinerea Pers. 1801,1d0d347e-b4ed-4d69-a610-55d4df3df6e5,Lipids,,Fenpro-Prothio-Fenhe,E,89afb1d4-8517-4bca-9f67-92e1b40a86c1,BOTRCI,WGA_NileRed_CFW,1,Lipid,LDblur,file:///images/89afb1d4-8517-4bca-9f67-92e1b40a86c1.tif
,32e1c64f-97b7-433b-8cf7-c5419c3b86a3,fd57e84c-3047-4342-a4f3-88f81b64915c,2,CFW,4,Botrytis cinerea Pers. 1801,57feac49-c9d1-4ee2-bc53-9f2c57e7b74b,"Glucans, Chitin",,Azoxy-Bix-Fluop,H,46b03045-8213-46c9-87a4-de08bf2e7e02,BOTRCI,NileRed_WGA_CFW,1,Cell wall,CFWweak,file:///images/46b03045-8213-46c9-87a4-de08bf2e7e02.tif
,134012ad-4e9b-483e-87ed-fcc83711faff,0882609e-b2bc-4721-89bc-d9339467b199,7,NileRed,7,Botrytis cinerea Pers. 1801,e559650a-1f03-482c-b6a9-8a3acfef82f4,Lipids,,LDtest-DataGen-24h-1,E,4f27ad31-bb65-4d90-bfbd-4b2e7f0fe096,BOTRCI,NileRed_WGA_CFW,2,Lipid,LDlarge,file:///images/4f27ad31-bb65-4d90-bfbd-4b2e7f0fe096.tif
,134012ad-4e9b-483e-87ed-fcc83711faff,c4f8111f-9e92-4e94-8bac-a5c3fbeaa1b9,6,NileRed,11,Botrytis cinerea Pers. 1801,e559650a-1f03-482c-b6a9-8a3acfef82f4,Lipids,,LDtest-DataGen-24h-1,G,3daa9931-2d02-4399-b396-d602feffc454,BOTRCI,NileRed_WGA_CFW,3,Lipid,LDhyph,file:///images/3daa9931-2d02-4399-b396-d602feffc454.tif
,134012ad-4e9b-483e-87ed-fcc83711faff,bafda73b-a28e-4ca1-8cbb-3c41b0496e3b,4,NileRed,9,Botrytis cinerea Pers. 1801,e559650a-1f03-482c-b6a9-8a3acfef82f4,Lipids,,LDtest-DataGen-24h-1,B,71ebbd20-51fa-4d3b-bba5-8b4e9286790e,BOTRCI,NileRed_WGA_CFW,1,Lipid,LDblur,file:///images/71ebbd20-51fa-4d3b-bba5-8b4e9286790e.tif
,a44218fc-1e3e-425c-a680-d796a9a5ccd2,e7139b27-b888-4528-891c-fd274aa23255,6,NileRed,4,Botrytis cinerea Pers. 1801,1d0d347e-b4ed-4d69-a610-55d4df3df6e5,Lipids,,Fenpro-Prothio-Fenhe,C,2a2c87a3-85e7-453d-8ed5-2fc7ed7458c4,BOTRCI,WGA_NileRed_CFW,1,Lipid,LDblur,file:///images/2a2c87a3-85e7-453d-8ed5-2fc7ed7458c4.tif
,67c03d72-d8b3-44f4-86d4-cd003905634a,3e73c327-497a-467b-9572-ecee8b18cc20,4,CFW,1,Botrytis cinerea Pers. 1801,b28eb622-09cb-4cb8-9e8d-390ed6ec2604,"Glucans, Chitin",,PolyoxB-Caspo,A,e6b3b5e3-2d67-4ad5-a372-dfb7ece5ac15,BOTRCI,WGA_NileRed_CFW,2,Cell wall,CWsepta,file:///images/e6b3b5e3-2d67-4ad5-a372-dfb7ece5ac15.tif
,fc5b2f8d-dd12-495e-8fef-a69e1ab4c317,d146a7fa-30d7-49d9-9de3-d44bf885b82d,7,NileRed,12,Botrytis cinerea Pers. 1801,778d6dc0-0414-42d0-bdf8-dc3348515304,Lipids,,LDtest-DataGen-24h-2,B,0983f9a2-932e-4886-9da9-cb4d0d029a8d,BOTRCI,NileRed_WGA_CFW,2,Lipid,LDlarge,file:///images/0983f9a2-932e-4886-9da9-cb4d0d029a8d.tif
